.tabfm_row_id,round_tier,position,height_inches,weight_lbs,bmi_proxy,weight_position_pct,height_position_pct,sophomore_feature_coverage,school_drafts_prior_5y,school_position_drafts_prior_5y,so_defensive_tot_pct,so_rushing_yds_pct,so_rush_yds_share_pct,so_defensive_solo_pct,so_receiving_yds_pct,so_rec_yds_share_pct,so_defensive_tfl_pct,so_defensive_pd_pct,so_defensive_sacks_pct,so_rush_share_pct,so_defensive_qb_hur_pct,so_receiving_td_pct,so_interceptions_int_pct,so_rushing_td_pct,so_passing_yds_pct,so_passing_td_pct,so_rec_td_share_pct,stars,recruit_rank,recruit_rating,recruit_rank_pct,recruit_rating_pct,years_since_recruit,blue_chip,power_conference,has_recruiting,has_sophomore_stats,has_junior_stats,junior_feature_coverage,transfer_or_school_mismatch
1,R6_7,ILB,73,232,30.605366860574218,0.7692307692307693,0.15384615384615385,0.9512195121951219,8,1,0,0.8,0.8,0.6,0,0,0,0,0,0.8,0,0,0,0.8,1,1,0,4,187,0.9264,0.9032258064516129,0.9032258064516129,4,1,1,1,1,0,0,0
2,R2_3,CB,74,182,23.364864864864863,0.37037037037037035,0.9259259259259259,0,9,2,,,,,,,,,,,,,,,,,,4,221,0.9164,0.9545454545454546,0.9545454545454546,0,1,,1,0,0,0,0
3,R2_3,RB,68,181,27.517949826989618,0.045454545454545456,0,0.8048780487804879,9,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,1,0,1,0,0,0
4,R1,TE,77,250,29.64243548659133,0.8333333333333334,0.75,0,4,0,,,,,,,,,,,,,,,,,,3,1464,0.8278,0.625,0.625,0,0,,1,0,0,0,0
5,R2_3,CB,71,184,25.659988097599683,0.4074074074074074,0.3333333333333333,0,6,1,,,,,,,,,,,,,,,,,,4,94,0.9549,1,1,0,1,,1,0,0,0,0
6,R1,QB,75,220,27.49511111111111,0.7368421052631579,0.7368421052631579,0,17,1,,,,,,,,,,,,,,,,,,4,91,0.9561,1,1,0,1,,1,0,0,0,0
7,R1,IDL,76,289,35.17434210526316,0.6521739130434783,0.782608695652174,0,14,2,,,,,,,,,,,,,,,,,,4,155,0.9321,1,1,0,1,,1,0,0,0,0
8,R2_3,WR,76,225,27.38486842105263,1,0.9459459459459459,0.8292682926829268,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,1,0,1,0,0,0
9,R4_5,ILB,73,240,31.66072433852505,0.9230769230769231,0.15384615384615385,0.9512195121951219,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0.8,0.8,1,2,3789,0.7533,0.032258064516129004,0.06451612903225806,0,0,0,1,1,0,0,0
10,R2_3,CB,70,205,29.41122448979592,0.896551724137931,0.10344827586206896,0.8048780487804879,7,2,1,0.02631578947368421,0.02631578947368421,1,0,0,0.9473684210526315,0.9210526315789473,0.9736842105263158,0,0,0,0,0,0.02631578947368421,0,0,3,1392,0.8311,0.5853658536585367,0.5853658536585366,1,0,1,1,1,0,0,0
